"{FMU2}.FMU2Instance.fk","{FMU}.FMUInstance.x1","{FMU}.FMUInstance.v1"
-17.6498,1,-2.13808
-17.5606,1,-2.15309
-17.4707,1,-2.16798
-17.3801,1,-2.18278
-17.2888,1,-2.19746
-17.1968,1,-2.21203
-17.1042,1,-2.2265
-17.011,1,-2.24086
-16.917,1,-2.2551
-16.8225,1,-2.26924
-16.7273,1,-2.28327
-16.6314,1,-2.29718
-16.5349,1,-2.31098
-16.4378,1,-2.32467
-16.3401,1,-2.33825
-16.2418,1,-2.35171
-16.1429,1,-2.36506
-16.0434,1,-2.3783
-15.9433,1,-2.39142
-15.8426,1,-2.40442
-15.7413,1,-2.41731
-15.6395,1,-2.43008
-15.5371,1,-2.44273
-15.4342,1,-2.45527
