"time","{FMU2}.FMU2Instance.fk","{FMU}.FMUInstance.x1","{FMU}.FMUInstance.v1"
0.452,-2.00098e+197,1,2.44012e+193
0.453,-3.46305e+197,1,-1.75722e+194
0.454,7.0837e+197,1,-5.21851e+194
0.455,3.83877e+198,1,1.87041e+194
0.456,2.71269e+198,1,4.02562e+195
0.457,-2.14438e+199,1,6.73429e+195
0.458,-6.1828e+199,1,-1.47162e+196
0.459,2.65311e+199,1,-7.65296e+196
0.46,4.85682e+200,1,-4.99219e+196
0.461,7.84728e+200,1,4.3581e+197
0.462,-1.83092e+201,1,1.2201e+198
0.463,-9.1497e+201,1,-6.12036e+197
0.464,-5.46833e+201,1,-9.76113e+198
0.465,5.31039e+202,1,-1.52197e+199
0.466,1.44369e+203,1,3.78994e+199
0.467,-8.31719e+202,1,1.82231e+200
0.468,-1.17647e+204,1,9.88764e+199
0.469,-1.76855e+204,1,-1.07769e+201
0.47,4.69938e+204,1,-2.84517e+201
0.471,2.17657e+205,1,1.85706e+201
0.472,1.06016e+205,1,2.36209e+202
0.473,-1.31134e+206,1,3.41989e+202
0.474,-3.36197e+206,1,-9.69698e+202
0.475,2.45958e+206,1,-4.3307e+203
0.476,2.84413e+207,1,-1.86678e+203
0.477,3.96135e+207,1,2.65764e+204
0.478,-1.19884e+208,1,6.61634e+204
0.479,-5.16745e+208,1,-5.37872e+204
0.48,-1.93505e+208,1,-5.70478e+205
0.481,3.22956e+209,1,-7.63412e+205
0.482,7.8068e+209,1,2.46691e+206
0.483,-7.00246e+209,1,1.02712e+207
0.484,-6.86229e+210,1,3.25851e+206
0.485,-8.81054e+210,1,-6.53677e+207
0.486,3.04189e+211,1,-1.53408e+208
0.487,1.22433e+212,1,1.50935e+208
0.488,3.17499e+211,1,1.37512e+209
0.489,-7.93351e+212,1,1.69124e+209
0.49,-1.8073e+213,1,-6.24396e+209
0.491,1.94088e+213,1,-2.43107e+210
0.492,1.65254e+214,1,-4.87758e+209
0.493,1.94354e+214,1,1.60381e+211
0.494,-7.68127e+214,1,3.54575e+211
0.495,-2.89481e+215,1,-4.13907e+211
0.496,-4.08471e+214,1,-3.3083e+212
0.497,1.94417e+216,1,-3.71346e+212
